pathway,wtt_energy_factor,ghg_g_per_mj
Natural gas,0.793640419013899,114.40510338454405
Electrolysis (Oil),5.587772521226547,459.11752145631505
Electrolysis (Natural gas),3.6485504233065282,225.2566501069266
Electrolysis (Coal),4.76901967053786,471.6712927582802
Electrolysis (Nuclear),4.9825433393566625,3.6976538618343233
Electrolysis (Biomass),7.8019045053746945,28.965009834117478
Electrolysis (Renewables),1.681590407334416,1.1577835800679008
