column,name,lifetime_years,annual_km,lifetime_km,electricity_region,vehicle_weight_kg,battery_capacity_kwh,production_region,battery_chemistry,hydrogen_pathway,occupancy,service_vehicle,service_km_per_vehicle_day,vehicles_per_service_trip,share_steel,share_stainless_steel,share_cast_iron,share_wrought_aluminum,share_cast_aluminum,share_copper_brass,share_glass,share_plastics,share_carbon_fiber,share_rubber,share_others,battery_replacements,fluids_energy_mj,fluids_ghg_g,fluids_weight_scaled,fuel_consumption_per_100km,electricity_consumption_kwh_per_km,hydrogen_consumption_per_100km,electric_driving_share,fuel_type,delivery_weight_computed,delivery_weight_kg,delivery_km_air,delivery_km_ship,delivery_km_train_a,delivery_km_train_b,delivery_km_heavy_truck_a,delivery_km_heavy_truck_b,delivery_km_medium_truck_a,delivery_km_medium_truck_b,delivery_km_van_a,delivery_km_van_b,services_uses_intensity_table,infra_category,infra1_type,infra2_type,infra1_asphalt_t_per_km,infra1_cement_t_per_km,infra1_steel_t_per_km,infra2_asphalt_t_per_km,infra2_cement_t_per_km,infra2_steel_t_per_km,infra1_lifetime_years,infra2_lifetime_years,infra1_annual_use_mvkm,infra2_annual_use_mvkm,infra_share_1,infra_rail_allocation
X,"Shared e-scooter (new generation),- All improvements combined",1.9666666666666668,4350,8555,"100% solar, wind or hydro",24.63666895813913,0.551,Default,NMC111,,1,Van - BEV (low carbon),5.625,21.0875,0.169068107668181,0.0,0.0,0.4974292596463759,0.06264138234849129,0.048239070063381115,0.0,0.0,0.0,0.046272489269430325,0.17634969100414033,0.30000000000000004,0.04757488083330027,3607.1348518628806,1,0.0,0.011899999999999999,0.0,1,,0,33.77109226026398,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
Y,Shared e-scooter (new generation) - Low-carbon electricity in use phase,1.9666666666666668,2900,5703.333333333334,"100% solar, wind or hydro",24.63666895813913,0.551,With Al smelting mostly form coal,NMC111,,1,Van - ICE,11.25,14.058333333333334,0.169068107668181,0.0,0.0,0.4974292596463759,0.06264138234849129,0.048239070063381115,0.0,0.0,0.0,0.046272489269430325,0.17634969100414033,0.30000000000000004,0.04757488083330027,3607.1348518628806,1,0.0,0.011899999999999999,0.0,1,,0,33.77109226026398,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
Z,Shared e-scooter (new generation) - 50% lower service distance,1.9666666666666668,2900,5703.333333333334,World,24.63666895813913,0.551,With Al smelting mostly form coal,NMC111,,1,Van - ICE,5.625,14.058333333333334,0.169068107668181,0.0,0.0,0.4974292596463759,0.06264138234849129,0.048239070063381115,0.0,0.0,0.0,0.046272489269430325,0.17634969100414033,0.30000000000000004,0.04757488083330027,3607.1348518628806,1,0.0,0.011899999999999999,0.0,1,,0,33.77109226026398,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
AA,Shared e-scooter (new generation) - 50% higher daily e-scooter distance,1.9666666666666668,4350,8555,World,24.63666895813913,0.551,With Al smelting mostly form coal,NMC111,,1,Van - ICE,11.25,14.058333333333334,0.169068107668181,0.0,0.0,0.4974292596463759,0.06264138234849129,0.048239070063381115,0.0,0.0,0.0,0.046272489269430325,0.17634969100414033,0.30000000000000004,0.04757488083330027,3607.1348518628806,1,0.0,0.011899999999999999,0.0,1,,0,33.77109226026398,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
AB,Shared e-scooter (new generation) - Low carbon Al smelting,1.9666666666666668,2900,5703.333333333334,World,24.63666895813913,0.551,Default,NMC111,,1,Van - ICE,11.25,14.058333333333334,0.169068107668181,0.0,0.0,0.4974292596463759,0.06264138234849129,0.048239070063381115,0.0,0.0,0.0,0.046272489269430325,0.17634969100414033,0.30000000000000004,0.04757488083330027,3607.1348518628806,1,0.0,0.011899999999999999,0.0,1,,0,33.77109226026398,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
AC,Shared e-scooter (new generation) - Low-carbon EVs for operational services,1.9666666666666668,2900,5703.333333333334,World,24.63666895813913,0.551,With Al smelting mostly form coal,NMC111,,1,Van - BEV (low carbon),11.25,14.058333333333334,0.169068107668181,0.0,0.0,0.4974292596463759,0.06264138234849129,0.048239070063381115,0.0,0.0,0.0,0.046272489269430325,0.17634969100414033,0.30000000000000004,0.04757488083330027,3607.1348518628806,1,0.0,0.011899999999999999,0.0,1,,0,33.77109226026398,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
AD,Shared e-scooter (new generation) - 50% more vehicles per servicing trip,1.9666666666666668,2900,5703.333333333334,World,24.63666895813913,0.551,With Al smelting mostly form coal,NMC111,,1,Van - ICE,11.25,21.0875,0.169068107668181,0.0,0.0,0.4974292596463759,0.06264138234849129,0.048239070063381115,0.0,0.0,0.0,0.046272489269430325,0.17634969100414033,0.30000000000000004,0.04757488083330027,3607.1348518628806,1,0.0,0.011899999999999999,0.0,1,,0,33.77109226026398,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
AE,Shared e-scooter (new generation) - Central case,1.9666666666666668,2900,5703.333333333334,World,24.63666895813913,0.551,With Al smelting mostly form coal,NMC111,,1,Van - ICE,11.25,14.058333333333334,0.169068107668181,0.0,0.0,0.4974292596463759,0.06264138234849129,0.048239070063381115,0.0,0.0,0.0,0.046272489269430325,0.17634969100414033,0.30000000000000004,0.04757488083330027,3607.1348518628806,1,0.0,0.011899999999999999,0.0,1,,0,33.77109226026398,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
AF,Shared e-scooter (Hollingsworth et al. 2019 simulation),0.875,3700,3237.5,United States,10.88147987687259,0.33,With Al smelting mostly form coal,NMC111,,1,Van - ICE,21.887078399999996,10,0.16846973212681013,0.0,0.0,0.5513955884578119,0.039810761486654016,0.03065759471825434,0.0,0.0,0.0,0.07627638973666398,0.1333899334738057,0,0.021012788267431037,1593.1928691498094,1,0.0,0.011000000000000001,0.0,1,,0,17.5,0.0,11800,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
AG,Private bike,5.6,2400,13440,World,20.6448,0.0,With Al smelting mostly form coal,,,1,None,0.0,0.0,0.6463613113229482,0.0,0.0,0.04843834767108424,0.0,0.0,0.0,0.09687669534216849,0.0,0.2083236456637991,0.0,0,0.03986634319339831,3022.6723310797615,1,0.0,0.0,0.0,0.0,,0,23.34169459724033,0.0,0.0,0.0,0.0,0.0,0.0,4000,0.0,0.0,0.0,1,"Bicycles, e-scooters",Bike lane,Urban road,0.12,22.5,0,1,212.5,0.1,30,30,459.8114285714287,1110.649165528301,0.2,0
