source,wtt_energy_factor,ghg_g_per_kwh
oil,3.494121314526512,1033.5360506170814
natural_gas,2.281495489082957,507.0833885587147
coal,2.982142386241021,1061.7962990402461
nuclear,3.115661441539034,8.323922286361439
biomass,4.878651954504572,65.20418078378032
other_renewables,1.0515247108307046,0
