step,energy_mj_per_kg_coal_al,energy_mj_per_kg_default,ghg_g_per_kg_coal_al,ghg_g_per_kg_default
assembly,8.224625841912632,8.224625841912632,538.6328307374549,538.6328307374549
disposal,2.265756636805004,2.265756636805004,153.35318310942364,153.35318310942364
