chemistry,specific_energy_kwh_per_kg,mfg_energy_mmbtu_coal_al,mfg_energy_mmbtu_default,mfg_ghg_g_coal_al,mfg_ghg_g_default
LMO,0.12123932196229183,17.550913251476587,14.53187694051551,1473442.404116315,982470.2863481897
NMC111,0.14262303541417382,26.534854451874825,23.515818140913748,2102479.095876358,1611506.9781082333
LFP: hydrothermal,0.1159133798267138,18.38705948608153,15.368023175120452,1498720.0654745686,1007747.9477064431
LFP: solid state,0.1159133798267138,17.23866559275126,14.219629281790183,1426779.775985455,935807.6582173294
NMC622,0.15504780647427463,26.682490257730674,23.663453946769597,2109288.564353485,1618316.4465853602
NMC811,0.14922041422599697,26.986728378511966,23.96769206755089,2108573.3561928202,1617601.2384246956
LMR-NMC:Gr,0.175,20.70821432697536,17.689178016014278,1715155.7425372568,1224183.6247691314
LMR-NMC:Gr-SI,0.2,20.70821432697536,17.689178016014278,1715155.7425372568,1224183.6247691314
NCA,0.15857163037285157,27.979802847890866,24.96076653692979,2174508.7671961817,1683536.649428057
